source_id,priority_tier,name,direct_url,organization_or_author,source_category,genre,major_topics,register,estimated_cefr,german_variety,modality,format,approximate_usable_material,access_class,transcript_or_download_availability,rights_and_access_notes,linguistic_coverage_added,main_risk_or_limitation,recommended_acquisition_scope,command_or_download_hint,verified_on
austria_parliament,2,Austrian Parliament Open Data and stenographic protocols,https://www.parlament.gv.at/services/opendata/,Austrian Parliament,regional official/political corpus,parliamentary debate,Austrian policy; administration; economy; society,formal spoken-to-written,B2–C1,AT Standard German,spoken transcript + official written,open-data feeds/pages; stenographic full text,Full text available for many legislative periods; large archive,downloadable_manual,Official open-data and protocol pages,Use official terms; label AT and preserve date/speaker,"Austrian administrative vocabulary, discourse markers and regional standard usage",Political skew; some access endpoints require custom harvesting,Sample recent Nationalrat debates to reach 3–4% of total corpus,manual/API: inspect official open-data endpoints,2026-08-05
swiss_official_bulletin,2,Swiss Parliament Official Bulletin,https://www.parlament.ch/en/ratsbetrieb/official-bulletin,Swiss Federal Assembly,regional official/political corpus,verbatim parliamentary debate,Swiss policy; federalism; multilingual governance; law,formal spoken-to-written,B2–C1,CH Standard German; some Swiss-specific vocabulary,spoken transcript + video,web transcripts and video,Large multi-year archive,downloadable_manual,Official searchable transcripts; downloads vary by interface,Use official terms; label CH and preserve chamber/language/date,"Swiss Standard German vocabulary, formal debate, interruptions and spoken syntax",Multilingual proceedings; extraction needs language filtering,Sample recent German-language debates to 2–3% of corpus,manual: export/search official bulletin,2026-08-05
swiss_parliaments_corpus,3,Swiss Parliaments Corpus,https://www.swisstext.org/swiss-parliaments-corpus/,SwissText / research consortium,regional speech corpus,parliamentary speech,cantonal and national politics,formal and semi-formal spoken,B2–C1,Swiss German speech aligned with Standard German text,audio-aligned transcript,research dataset,About 293 hours of speech in the published corpus,bulk_or_request,Freely downloadable research corpus per project documentation,Check dataset licence and attribution before redistribution,"Speech-to-standard correspondences, Swiss discourse and pronunciation context",Dialect-heavy audio; not pure Germany Standard German,Acquire as a labeled CH supplement only,manual: follow project download instructions,2026-08-05
common_voice_de_scripted,1,Mozilla Common Voice German Scripted Speech,https://commonvoice.mozilla.org/en/datasets,Mozilla Foundation / contributors,speech corpus,read prompts with validated audio,broad short utterances; names; factual and practical statements,neutral read speech,A1–B2,DACH-mixed German; metadata permits filtering,audio + sentence text,TSV metadata + MP3 clips in tar archives,"Large current release; tens of GB of audio, with validated_sentences.tsv",bulk_open,Direct dataset download after selecting German/version,Mozilla dataset terms and per-release licence; retain speaker and validation metadata,"Short well-formed sentences, pronunciation, orthography and spoken reference",Read speech rather than spontaneous dialogue; duplicates and odd prompts,Download sentence metadata first; audio only for a quality-controlled subset or TTS validation,manual download; tools/acquire.py records destination,2026-08-05
opensubtitles_opus,3,OPUS OpenSubtitles German,https://opus.nlpl.eu/OpenSubtitles/corpus/version/OpenSubtitles,OPUS / subtitle contributors,dialogue corpus,film and television subtitles,relationships; conflict; humor; daily interaction; crime; work; emotion,"informal spoken-like, genre-dependent",A1–C1,mixed translated/dubbed German; not reliably DE-native,subtitle dialogue,TMX/Moses/monolingual text via OPUS tools,Very large—millions of subtitle lines,bulk_open,Downloadable through OPUS/OpusTools,Corpus-specific licensing/attribution; many texts are copyrighted derivatives—use as internal research/reference only,"Conversational ellipsis, discourse particles, emotional language, questions and commands","Translationese, fragments, timing splits, profanity, fictional skew, duplicates",Cap at 100K–300K high-quality complete sentences after deduplication and language-quality scoring,opus_read -d OpenSubtitles -s de -t en -wm moses -w raw.de raw.en,2026-08-05
europarl_opus,2,OPUS Europarl German,https://opus.nlpl.eu/Europarl/corpus/version/Europarl,European Parliament / OPUS,institutional parallel corpus,parliamentary speeches,EU policy; economics; law; environment; international affairs,formal spoken-to-written,B2–C1,"EU German, largely Standard",spoken transcript / translated parallel text,TMX/Moses via OPUS,Millions of aligned sentence pairs across languages,bulk_open,OpusTools/direct packages,Check Europarl/OPUS terms and cite corpus,"Formal arguments, procedural language, polite disagreement, complex clauses",Translationese and institutional repetition,Acquire German side; sample 100K–250K after deduplication,opus_read -d Europarl -s de -t en -wm moses -w raw.de raw.en,2026-08-05
dgt_opus,2,OPUS DGT Translation Memory,https://opus.nlpl.eu/DGT/corpus/version/DGT,European Commission DGT / OPUS,legal/administrative parallel corpus,EU legislation and administrative translation,regulation; policy; institutions; procedures,formal legal-administrative,C1,EU German Standard,written translated text,TMX/Moses via OPUS,Very large aligned translation memory,bulk_open,OpusTools/direct packages,European Commission reuse terms plus OPUS metadata,"Terminology consistency, legal collocations, modality, conditions",Strong translationese and formulaicity,Sample narrowly by document and lexical need; do not let it dominate,opus_read -d DGT -s de -t en -wm moses -w raw.de raw.en,2026-08-05
jrc_acquis_opus,3,OPUS JRC-Acquis German,https://opus.nlpl.eu/JRC-Acquis/corpus/version/JRC-Acquis,European Commission Joint Research Centre / OPUS,legal parallel corpus,EU acquis,law; regulation; institutions,formal legal,C1,EU German Standard,written translated text,TMX/Moses via OPUS,Large aligned legal collection,bulk_open,OpusTools/direct packages,Follow JRC/OPUS terms,Legal phraseology and long conditional constructions,Older and highly formulaic; overlaps DGT,Use only to fill legal collocation gaps not covered by current German statutes,opus_read -d JRC-Acquis -s de -t en -wm moses -w raw.de raw.en,2026-08-05
emea_opus,2,OPUS EMEA German,https://opus.nlpl.eu/EMEA/corpus/version/EMEA,European Medicines Agency source documents / OPUS,medical-regulatory parallel corpus,medication; indications; contraindications; dosage; adverse effects,formal technical/regulatory,B2–C1,EU German Standard,written translated text,TMX/Moses via OPUS,Hundreds of thousands of aligned segments depending version,bulk_open,OpusTools/direct packages,Check source-document and OPUS terms,"Medical collocations, warnings, passive voice, dosage and risk language",Translationese and repetitive templates,Acquire and retain 20K–50K diverse complete sentences,opus_read -d EMEA -s de -t en -wm moses -w raw.de raw.en,,2026-08-05
ted2020_opus,2,OPUS TED2020 German,https://opus.nlpl.eu/TED2020/corpus/version/TED2020,TED / OPUS,talk transcript corpus,science; society; personal stories; technology; ideas,"semi-formal spoken, narrative/explanatory",B1–C1,international German translation/subtitles,spoken transcript / subtitles,TMX/Moses via OPUS,Large multi-topic aligned transcript corpus,bulk_open,OpusTools/direct packages,TED/OPUS reuse conditions; internal reference recommended,"Storytelling, explanations, rhetorical questions, examples, audience address",Mostly translated subtitles and segmentation artifacts,Acquire 50K–100K high-confidence complete sentences,opus_read -d TED2020 -s de -t en -wm moses -w raw.de raw.en,,2026-08-05
qed_opus,3,OPUS QED German,https://opus.nlpl.eu/QED/corpus/version/QED,Educational video contributors / OPUS,educational transcript corpus,tutorials; lectures; explanations; practical skills,instructional spoken,B1–C1,translated Standard German,spoken transcript / subtitles,TMX/Moses via OPUS,Large multi-domain educational collection,bulk_open,OpusTools/direct packages,Corpus-specific terms; internal reference recommended,"Procedures, causal explanation, definitions, demonstrations","Translationese, subtitle fragments, uneven quality",Use a 25K–50K filtered sample for instructional language,opus_read -d QED -s de -t en -wm moses -w raw.de raw.en,,2026-08-05
gnome_opus,2,OPUS GNOME localization corpus,https://opus.nlpl.eu/GNOME/corpus/version/GNOME,GNOME localization teams / OPUS,software localization corpus,desktop software; settings; errors; actions; accessibility,concise technical UI,A2–B2,Standard German localization,written UI strings,TMX/Moses via OPUS,Tens of thousands of localized segments,bulk_open,OpusTools/direct packages,Open-source project licences; retain project attribution,"Commands, labels, error messages, user actions, technical collocations",Fragments and placeholders; not ordinary prose,Keep only sentence-like strings and high-value UI messages,opus_read -d GNOME -s de -t en -wm moses -w raw.de raw.en,,2026-08-05
kde4_opus,2,OPUS KDE4 localization corpus,https://opus.nlpl.eu/KDE4/corpus/version/KDE4,KDE localization teams / OPUS,software localization corpus,desktop software; files; networking; settings; support,concise technical UI,A2–B2,Standard German localization,written UI strings,TMX/Moses via OPUS,Large localized-string corpus,bulk_open,OpusTools/direct packages,Open-source project licences; retain project attribution,"Technology vocabulary, imperative/help language, warnings","Fragments, variables, duplication, translationese",Keep 10K–30K sentence-like strings after placeholder filtering,opus_read -d KDE4 -s de -t en -wm moses -w raw.de raw.en,,2026-08-05
deplain,1,DEPlain,https://github.com/rstodden/DEPlain,"Regina Stodden, Omar Momen, Laura Kallmeyer",plain-language aligned corpus,professionally simplified news/web documents,news; public information; society,neutral standard and plain language paired,A2–C1,Germany Standard German,written aligned text,repository datasets/code; document and sentence alignments,"DEplain-APA: 483 document pairs, 25,607 original sentences and 13,122 manually aligned sentence pairs; additional web material",bulk_mixed,Git repository; some subcorpora available on request,Licences differ by subcorpus; follow README and source rights,"Register/complexity contrast, paraphrase, lexical and syntactic alternatives",Some data request-only; limited domains; pairs may duplicate semantics,Clone repository immediately; ingest available licensed sentence pairs with complexity labels,python tools/acquire.py fetch deplain,2026-08-05
simple_german_corpus,1,A New Aligned Simple German Corpus,https://github.com/buschmo/Simple-German-Corpus,Vanessa Toborek et al.,plain-language aligned corpus,standard/simple parallel web documents,public information; accessibility; society,neutral and controlled simple language,A2–C1,Germany Standard German,written aligned text,"Git repository with crawler, matching code and results workflow",Hundreds of aligned/comparable documents; exact current output depends on archived sources,bulk_open_code,Code/data repository; crawler uses archived websites,MIT code licence; individual crawled texts retain source rights,"CEFR/register leveling, sentence splitting, syntactic simplification contrasts",Source copyright and crawler reproducibility; simple-language conventions can be unnatural for general learners,Clone code/data; use released results and metadata before recrawling,python tools/acquire.py fetch simple_german_corpus,2026-08-05
dwie,1,DWIE – Deutsche Welle Information Extraction corpus,https://github.com/klimzaporojets/DWIE,Klim Zaporojets et al.,annotated news corpus,Deutsche Welle news articles,international news; politics; society; economy,edited journalistic,B2–C1,Germany/international Standard German,written,JSON/document-level annotations,"Moderate document corpus with rich entity, coreference, relation and linking annotations",bulk_open,GitHub and dataset mirrors,Follow repository dataset licence and citation requirements,"Coherent multi-sentence articles, entity chains, coreference, reporting structures",News and named-entity heavy; not large enough as sole news source,Clone entire corpus; preserve document boundaries and annotations,python tools/acquire.py fetch dwie,2026-08-05
potec,2,PoTeC – Potsdam Textbook Corpus,https://github.com/DiLi-Lab/PoTeC,DiLi Lab / University of Potsdam and collaborators,scientific/educational corpus,textbook excerpts,physics; biology,formal explanatory academic,B2–C1,Germany Standard German,written + reading data,text and linguistic/eye-tracking annotations; large files via OSF,12 scientific texts read by 75 participants,bulk_open,GitHub plus OSF data,Open research materials; follow repository/OSF licence,"Scientific explanation, technical noun phrases, causation and process descriptions",Tiny text volume and narrow domains,"Acquire all text; use as a high-quality scientific style anchor, not volume source",python tools/acquire.py fetch potec,2026-08-05
ggponc,3,GGPONC 2.0 – German oncology guideline corpus,https://zenodo.org/records/12518458,German Guideline Program in Oncology / research consortium,medical guideline corpus,clinical practice guidelines,oncology; diagnosis; therapy; evidence; recommendations,formal expert medical,C1,Germany medical Standard German,written annotated text,XML/annotated research corpus,One of the largest German medical guideline corpora; exact release files on Zenodo,restricted_request,Access request through Zenodo/community,Non-commercial research and no redistribution restrictions apply to some releases; each user may need individual access,"Medical terminology, evidence levels, recommendations, ellipsis in coordinated noun phrases",Access/licence constraints and highly specialized content,Request only if project use qualifies; store outside Git and record restrictions,manual: request access; never redistribute blindly,2026-08-05
plainmedscale,2,PlainMedScale,https://github.com/GS-Uni-Heidelberg/PlainMedScale,Heidelberg University researchers,multi-register medical corpus,topic-aligned medical explanations at four comprehensibility levels,diseases; symptoms; diagnosis; treatment; patient information,"expert, consumer, plain and accessible registers",A2–C1,German Standard German,written aligned/comparable text,GitHub + Zenodo,Four-level topic-aligned German/English medical corpus; released August 2026,bulk_open_or_mixed,Code and data links provided by authors,New release: verify Zenodo licence and source-text conditions before redistribution,"Exceptional register gradient, expert–lay paraphrases and patient-facing language",Very new; source mix includes texts with differing rights; needs licence review,"Acquire metadata/code now, data after licence check; label each level/source",python tools/acquire.py fetch plainmedscale,2026-08-05
textgrid,3,TextGrid Digital Library text corpus,https://textgridrep.org/,TextGrid / Göttingen State and University Library consortium,literary/historical corpus,digitized German literature and cultural texts,fiction; drama; poetry; philosophy; history,"literary, often historical",C1,historical German and older Standard varieties,written,XML/TEI and full text corpus archives,"Text corpus downloads around 390 MB; over 120,000 works/items in repository holdings",bulk_open,Whole-stock text corpus archives are downloadable,Public-domain texts; repository metadata commonly CC BY; preserve attribution,"Narrative, dialogue, description, emotion, stylistic range and literary syntax",Mostly pre-20th-century; archaic lexicon/orthography can contaminate contemporary examples,Take a small curated 1–2% modern-compatible slice; tag year and never treat as everyday usage,manual download from TextGrid repository,2026-08-05
dw_nicos_weg,1,DW Learn German – Nicos Weg,https://learngerman.dw.com/de/nicos-weg/c-36519687,Deutsche Welle,native-reviewed learner corpus,"serial drama, exercises and lesson transcripts",introductions; housing; travel; family; work; services; relationships,natural learner-oriented spoken,A1–B1,Germany Standard German,video/audio + transcript,web lessons; downloadable manuscripts/vocabulary PDFs for many units,Hundreds of lesson scenes/exercises across A1–B1,downloadable_manual,Manuscript/vocabulary PDFs available by lesson/course pages,DW usage terms; internal educational reference; do not bulk mirror without checking terms,"Natural progression, everyday dialogue, separable verbs, cases, word order, discourse particles",Learner-scripted and recurring cast/topics; not enough advanced language,Download all official manuscripts and vocabulary PDFs first; keep lesson/level metadata,manual: save official PDFs per lesson,2026-08-05
dw_top_thema,1,DW Learn German – Top-Thema mit Vokabeln,https://learngerman.dw.com/de/top-thema/s-55861562,Deutsche Welle,native-reviewed learner/news corpus,short current-affairs articles with audio/vocabulary,news; society; culture; science; economy,edited accessible journalistic,B1,Germany Standard German,written + audio,"web article, audio, manuscript/exercise/vocabulary PDFs on many entries",Multi-year archive with many hundreds of units,downloadable_manual,Individual pages and PDFs/audio,DW terms; retain title/date/level and use internally unless redistribution is permitted,"B1 news syntax, topical vocabulary, concise explanations, collocations",Topic recency and news concentration; repeated exercise templates,"Acquire 300–500 diverse units across years/topics, preserving article text and vocab notes",manual or respectful page/PDF downloader after terms review,2026-08-05
dw_video_thema,1,DW Learn German – Video-Thema,https://learngerman.dw.com/de/video-thema/s-55861568,Deutsche Welle,native-reviewed audiovisual learner corpus,short documentary/report videos with transcripts and exercises,work; society; culture; technology; environment; people,neutral spoken/reportage,B2,Germany Standard German,video/audio + transcript,"web video, manuscript and worksheet PDFs",Large multi-year archive with hundreds of units,downloadable_manual,Transcripts/manuscripts and exercises commonly downloadable,DW terms; internal reference unless explicit reuse allows more,"Spoken reportage, interviews, B2 phrasing, connected speech, explanation",Some voice-over/reportage rather than spontaneous dialogue,Acquire 200–400 topic-diverse units; preserve speaker distinctions when available,manual or respectful page/PDF downloader after terms review,2026-08-05
dw_slow_news,1,DW Langsam gesprochene Nachrichten,https://learngerman.dw.com/de/langsam-gesprochene-nachrichten/s-60040332,Deutsche Welle,news transcript/audio corpus,daily news read slowly,international politics; economics; society; conflict; science,formal broadcast news,B2–C1,Germany broadcast Standard German,audio + exact text,web text and downloadable audio,Daily archive; thousands of dated bulletins over time,downloadable_manual,Text pages and audio downloads,DW terms; preserve date and segment boundaries,"Broadcast phrasing, reported speech, passive, tense variation, pronunciation alignment",International/political skew and repeated news formulas,"Acquire a stratified 1–2 year sample, not every bulletin",manual or RSS/page collector after terms review,2026-08-05
dw_alltagsdeutsch,2,DW Alltagsdeutsch / Sprachbar,https://learngerman.dw.com/de/alltagsdeutsch/s-56744441,Deutsche Welle,advanced learner/culture corpus,audio features and language columns,idioms; culture; social life; language; institutions,"neutral to informal, stylistically rich",C1,Germany Standard German,audio + transcript,web text/audio; worksheets on many entries,Large archive of feature-length units,downloadable_manual,Individual transcript/manuscript pages,"DW terms; preserve series, date and topic","Idioms, figurative language, register, wordplay, discourse and cultural references",Advanced and feature-journalism skew,Acquire 150–300 units selected for lexical/functional diversity,manual download after terms review,2026-08-05
goethe_uebungen,1,Goethe-Institut – Deutsch üben / free practice materials,https://www.goethe.de/de/spr/ueb.html,Goethe-Institut,native-reviewed learner corpus,"interactive exercises, videos, readings and workplace/everyday modules",daily life; work; travel; culture; communication,"learner-oriented, natural neutral/informal/formal",A1–C2 (select A1–C1),Germany Standard German with DACH cultural content,mixed written/spoken,"web exercises, video/audio, some PDFs/apps",Hundreds of free resources; some paid courses contain far more,downloadable_manual,Some resources downloadable; many interactive only,Goethe terms; use as reference and only download where offered,"Controlled CEFR examples, communicative functions, grammar, pragmatic appropriateness",Interactive content may be difficult to export; learner-domain concentration,"Inventory and manually download offered PDFs/transcripts, prioritizing professional and B2–C1 materials",manual inventory; no blind site mirroring,2026-08-05
goethe_mein_weg,1,Goethe-Institut – Mein Weg nach Deutschland,https://www.goethe.de/prj/mwd/de/,Goethe-Institut,integration/practical learner corpus,"videos, texts and practical information",arrival; housing; work; offices; school; health; money; daily life,accessible practical neutral,A1–B1,Germany Standard German,mixed written/spoken,"web, video, exercises and practical text",Dozens of topic modules with recurring characters and real-life information,downloadable_manual,Web/video; selected materials may be downloadable,Goethe terms; internal reference,"Immigration/integration interactions, public offices, forms, housing and workplace pragmatics",Learner-scripted; narrower target audience,Acquire complete topic inventory and offered transcripts/materials,manual inventory,2026-08-05
vhs_lernportal_general,1,vhs-Lernportal – Deutsch A1–C1,https://www.vhs-lernportal.de/,Deutscher Volkshochschul-Verband,native-reviewed learner corpus,online courses and apps,daily life; family; shopping; housing; services; education; society,practical learner-oriented,A1–C1,Germany Standard German,mixed written/spoken,"interactive platform, apps, downloadable supplemental materials",Large course system with thousands of exercises across levels,downloadable_mixed,Free registration; apps/offline use and downloadable extras,Platform terms; do not scrape authenticated content without permission,Broad CEFR-balanced daily and civic vocabulary; structured progression,Interactive/authenticated content; exercise repetition,Download public supplemental PDFs and app/offline packages where allowed; use platform manually for gaps,manual/account-based,2026-08-05
vhs_beruf,1,vhs-Lernportal – Deutsch für den Beruf A2–C1,https://www.vhs-lernportal.de/wws/deutsch-fuer-den-beruf.php,Deutscher Volkshochschul-Verband,professional learner corpus,occupation-oriented courses,applications; meetings; schedules; customer service; safety; healthcare; trades; office communication,neutral/formal workplace with spoken interaction,A2–C1,Germany Standard German,mixed written/spoken,"interactive courses, apps and supplemental downloads",Multiple large vocational courses and thousands of exercises,downloadable_mixed,Free account; some material downloadable/offline,Platform terms; do not bulk scrape authenticated content,"Workplace emails, procedures, role-specific interactions, polite disagreement, instructions",Exercise/platform structure; not a raw corpus,Prioritize public/downloadable B2–C1 vocational supplements and manually curate authentic dialogues/emails,manual/account-based,2026-08-05
nachrichtenleicht,1,Nachrichtenleicht,https://www.nachrichtenleicht.de/,Deutschlandfunk,easy-news corpus,news in simple language with audio,politics; economy; society; culture; sports,clear edited news,A2–B1,Germany Standard German,written + audio,"web articles, RSS and downloadable audio",Large ongoing archive with multiple items weekly,downloadable_manual,"RSS, article pages and audio downloads",Deutschlandradio terms; internal reference and metadata retention,"Simple but authentic news paraphrase, short clauses, explanation of public vocabulary",Controlled simplification may overuse short sentences and explicit nouns,Acquire a topic-balanced 2–3 year article sample with audio metadata,RSS/page collector after terms review,2026-08-05
bamf_willkommen,1,BAMF – Willkommen in Deutschland,https://www.bamf.de/SharedDocs/Anlagen/DE/Integration/WillkommenDeutschland/willkommen-in-deutschland.html,Federal Office for Migration and Refugees (BAMF),official practical/integration corpus,orientation handbook,housing; work; school; health; money; government; rights; daily life,accessible official practical,A2–B2,Germany Standard German,written,"HTML/PDF, often multilingual and accessible versions",One substantial handbook plus related modules,bulk_manual,Official PDF downloads,Official publication; check imprint/reuse terms and retain edition,"Real-world civic vocabulary, procedures, modal verbs, explanations, addresses to reader",Single-document topic structure; some migration-specific context,Download current German PDF and accessible/simple variants; sentence-split with section metadata,manual direct PDF,2026-08-05
bamf_leben_in_deutschland,2,BAMF – Leben in Deutschland question catalog,https://www.bamf.de/SharedDocs/Anlagen/DE/Integration/Einbuergerung/gesamtfragenkatalog-lebenindeutschland.html,BAMF,official civic/assessment corpus,citizenship and integration questions,constitution; history; politics; rights; federal states; society,accessible official question style,A2–B2,Germany Standard German,written,PDF question catalogs,300 nationwide questions plus 160 state-specific questions,bulk_manual,Official PDF download,Official publication; retain version/date,"Question structures, civic vocabulary, answer options and factual formulations",Multiple-choice format and limited sentence diversity,Acquire full catalog but down-weight repeated templates,manual direct PDF,2026-08-05
berufenet,1,BERUFENET,https://web.arbeitsagentur.de/berufenet/,Federal Employment Agency,official occupational corpus,occupation profiles and task descriptions,careers; skills; training; tools; work conditions; industries,neutral formal practical,B1–C1,Germany Standard German,written,web database with structured occupation pages,Very large: hundreds of detailed occupation profiles and related fields,web_reference,Public web database; no simple full dump identified,Respect site terms/robots; store links/metadata or manually exported pages unless permission exists,"Occupation-specific verbs/nouns, task descriptions, qualifications, safety and work settings",Potential anti-scraping/terms constraints; many noun phrases and lists,Start with 100–200 representative occupations across sectors; manual/export or permitted API only,manual inventory/export,2026-08-05
bundesportal,1,Federal Administration Portal – Verwaltungsportal Bund,https://verwaltung.bund.de/portal/DE/,Federal Ministry of the Interior and public administrations,official administrative corpus,service descriptions and procedures,registration; permits; taxes; documents; family; vehicles; business; benefits,formal practical administrative,B1–C1,Germany Standard German,written,structured web pages,Thousands of service descriptions across federal/state/local administration,web_reference,"Public pages; structured navigation, no universal dump assumed",Respect portal terms/robots and preserve jurisdiction/date,"Forms, prerequisites, deadlines, documents, fees, conditional and procedural language",Template repetition; jurisdiction-specific variants; scraping constraints,"Sample 300–500 services across life situations and regions, deduplicating template text",manual/permitted crawler,2026-08-05
